id_loja;nome_loja;endereco;id_estado
1;Amplo Varejo - ES 001;"Ladeira de da Cruz
Etelvina Carneiro
18196001 da Conceição / PE";8
2;Amplo Varejo - MG 002;"Via Sampaio, 863
Tupi A
02654-235 Borges / MG";13
3;Amplo Varejo - RJ 003;"Trevo Vinícius Aparecida, 28
Alto Barroca
18495-931 Ribeiro / ES";19
4;Amplo Varejo - SP 004;"Colônia Garcia
Itatiaia
52553-419 Nascimento / SC";25
5;Amplo Varejo - MG 005;"Parque Vitor Hugo Porto, 135
Fazendinha
56413953 Gonçalves de Ramos / PB";13
6;Amplo Varejo - ES 006;"Feira Souza, 784
São Lucas
53287-101 Pires / CE";8
7;Amplo Varejo - ES 007;"Parque Garcia, 578
São Vicente
18451462 Abreu de Silveira / SC";8
8;Amplo Varejo - SP 008;"Rodovia Caldeira, 48
Conjunto Califórnia I
28809-570 Fonseca / TO";25
9;Amplo Varejo - MG 009;"Feira Nunes, 2
Vila Ouro Minas
18227-824 Cunha da Prata / SP";13
10;Amplo Varejo - MG 010;"Passarela Evelyn Macedo, 471
Europa
50983930 Santos / RS";13
11;Amplo Varejo - ES 011;"Área Farias, 9
Floramar
73829-973 Jesus de Correia / AM";8
12;Amplo Varejo - MG 012;"Morro Lavínia Jesus, 20
Beira Linha
51333-872 Cirino Paulista / PB";13
13;Amplo Varejo - ES 013;"Praia Novaes, 1
Vila Da Luz
13267736 Cavalcante / MG";8
14;Amplo Varejo - RJ 014;"Quadra Allana Lima, 472
Jardim Leblon
09805009 Montenegro de Moura / CE";19
15;Amplo Varejo - MG 015;"Estação Azevedo, 713
Capitão Eduardo
99091699 da Luz do Oeste / RO";13
16;Amplo Varejo - SP 016;"Passarela João Rios, 67
Coração Eucarístico
07991183 Cardoso da Praia / AP";25
17;Amplo Varejo - MG 017;"Esplanada Luna Nogueira, 99
Aeroporto
12411-824 Pereira do Oeste / RR";13
18;Amplo Varejo - SP 018;"Vereda de da Luz, 174
Buraco Quente
40052-427 Novais do Sul / AM";25
19;Amplo Varejo - SP 019;"Setor Andrade, 99
Cônego Pinheiro 2ª Seção
20450-533 Fogaça / SP";25
20;Amplo Varejo - SP 020;"Distrito de da Costa, 72
Alto Dos Pinheiros
56342160 Câmara de Costa / TO";25
21;Amplo Varejo - RJ 021;"Fazenda Pietro Alves, 66
Itatiaia
45868501 Cavalcanti Verde / GO";19
22;Amplo Varejo - MG 022;"Praça de Ferreira
Vila Olhos D'água
69816-934 Santos / PA";13
23;Amplo Varejo - PR 023;"Viela de Silveira, 75
Betânia
95148-465 Sampaio da Mata / PI";16
24;Amplo Varejo - RS 024;"Viaduto Gabrielly Rocha, 59
Nossa Senhora De Fátima
44369957 Macedo de Rocha / DF";21
25;Amplo Varejo - SC 025;"Esplanada de Ribeiro, 5
São Benedito
13433-200 Melo / RN";24
26;Amplo Varejo - PR 026;"Vereda Mathias Silva, 77
Garças
01632870 Campos / PB";16
27;Amplo Varejo - PR 027;"Viaduto Sofia Novais, 957
Novo Glória
27743-487 da Mota / PB";16
28;Amplo Varejo - RS 028;"Feira Yago Farias, 28
Cinquentenário
36231665 Leão de Araújo / DF";21
29;Amplo Varejo - RS 029;"Vila de Almeida, 167
Maria Goretti
66889-373 Lopes do Amparo / AC";21
30;Amplo Varejo - PR 030;"Viela de Guerra, 37
Vila Bandeirantes
69901627 Aragão / GO";16
31;Amplo Varejo - RS 031;"Quadra Duarte, 56
Vila Real 2ª Seção
41708-053 Vasconcelos / RS";21
32;Amplo Varejo - RS 032;"Feira Costa, 3
Frei Leopoldo
71937452 Vasconcelos / TO";21
33;Amplo Varejo - AL 033;"Trecho Alves, 79
Nazare
19314919 Ferreira / PI";2
34;Amplo Varejo - BA 034;"Campo Natália Ramos, 70
Novo Ouro Preto
16572-628 Pimenta da Prata / SP";5
35;Amplo Varejo - CE 035;"Trecho Vitor Gabriel Duarte, 51
Caiçaras
37996-507 Cirino do Amparo / DF";6
36;Amplo Varejo - MA 036;"Loteamento Alana Peixoto, 18
São Bernardo
13678377 Vieira de Almeida / AP";10
37;Amplo Varejo - PB 037;"Vila Ryan das Neves, 957
São Gonçalo
68557-444 Campos / SC";15
38;Amplo Varejo - PE 038;"Setor Teixeira, 43
Vila Pilar
49894-134 Fonseca / CE";17
39;Amplo Varejo - PI 039;"Setor de Cardoso
Ipe
08427109 Melo do Amparo / PB";18
40;Amplo Varejo - RN 040;"Jardim Mendes, 2
Nossa Senhora Da Aparecida
19022-941 Campos / PI";20
41;Amplo Varejo - SE 041;"Vale de Câmara, 867
Jardim Montanhês
49909-133 Ribeiro de Minas / CE";26
42;Amplo Varejo - RN 042;"Campo de Castro, 7
Paulo Vi
40344-713 Viana Verde / RO";20
43;Amplo Varejo - DF 043;"Setor Câmara, 34
Biquinhas
24994717 Sampaio das Flores / GO";7
44;Amplo Varejo - GO 044;"Trevo Aparecida, 55
Alto Vera Cruz
39904902 Moreira de Rezende / PB";9
45;Amplo Varejo - MT 045;"Praça de Porto, 81
Maravilha
55125-674 Teixeira da Prata / AL";11
46;Amplo Varejo - MS 046;"Jardim Ayla Camargo
Vila São Gabriel Jacui
80876-038 Pinto do Amparo / RS";12
47;Amplo Varejo - DF 047;"Favela da Mata, 824
Santo Antônio
10932-480 Borges de Goiás / TO";7
48;Amplo Varejo - AC 048;"Via Cassiano, 94
Vila Nossa Senhora Do Rosário
67737-826 Peixoto / PE";1
49;Amplo Varejo - AP 049;"Ladeira Vargas, 95
Horto Florestal
44997278 Ferreira de Farias / PI";3
50;Amplo Varejo - AM 050;"Estrada Rhavi Oliveira, 73
Atila De Paiva
76627-028 Brito dos Dourados / AM";4
51;Amplo Varejo - PA 051;"Distrito de Jesus
Santa Rosa
17459615 Dias do Amparo / PI";14
52;Amplo Varejo - RO 052;"Feira Pires, 23
Olaria
17240050 Fogaça da Praia / PA";22
