id_meta;mes;id_loja;meta_faturamento;meta_pedidos;meta_ticket_medio
1;1;1;724442;1410;513.79
2;1;2;610181;1012;602.95
3;1;3;502586;971;517.6
4;1;4;506617;1155;438.63
5;1;5;522754;1237;422.6
6;1;6;559747;1236;452.87
7;1;7;509134;1572;323.88
8;1;8;633750;1460;434.08
9;1;9;614579;1110;553.67
10;1;10;606791;906;669.75
11;1;11;569357;1379;412.88
12;1;12;558673;1362;410.19
13;1;13;745483;1168;638.26
14;1;14;670519;1363;491.94
15;1;15;799483;1687;473.91
16;1;16;782983;1629;480.65
17;1;17;557291;1094;509.41
18;1;18;512084;1695;302.11
19;1;19;621952;935;665.19
20;1;20;818476;1032;793.1
21;1;21;727502;1372;530.25
22;1;22;713834;1188;600.87
23;1;23;858544;1047;820.0
24;1;24;777651;1374;565.98
25;1;25;843290;1096;769.43
26;1;26;591581;1646;359.41
27;1;27;882330;997;884.98
28;1;28;722693;961;752.02
29;1;29;883144;1349;654.67
30;1;30;522364;1233;423.65
31;1;31;703497;1456;483.17
32;1;32;835737;1730;483.08
33;1;33;796224;1155;689.37
34;1;34;731590;1610;454.4
35;1;35;751783;1674;449.09
36;1;36;579456;1143;506.96
37;1;37;707354;1443;490.2
38;1;38;810191;1427;567.76
39;1;39;558171;1790;311.83
40;1;40;633937;1250;507.15
41;1;41;513446;979;524.46
42;1;42;882440;1653;533.84
43;1;43;575988;1546;372.57
44;1;44;804699;1210;665.04
45;1;45;894817;1734;516.04
46;1;46;639570;1762;362.98
47;1;47;754817;1144;659.81
48;1;48;825050;1319;625.51
49;1;49;672247;1447;464.58
50;1;50;890746;1669;533.7
51;1;51;543861;1770;307.27
52;1;52;531685;1707;311.47
53;1;53;645828;994;649.73
54;1;54;854927;1697;503.79
55;2;1;837698;935;895.93
56;2;2;558460;1410;396.07
57;2;3;808417;973;830.85
58;2;4;858019;981;874.64
59;2;5;805661;1507;534.61
60;2;6;667796;1252;533.38
61;2;7;685512;1698;403.72
62;2;8;828998;1359;610.01
63;2;9;737824;1046;705.38
64;2;10;880639;1418;621.04
65;2;11;713419;1783;400.12
66;2;12;758560;1024;740.78
67;2;13;540161;1093;494.2
68;2;14;614662;1493;411.7
