id_movimentacao;id_estoque;id_item_pedido;tipo_movimentacao;quantidade;id_calendario
1;3251;1.0;Saída;2.0;1
2;3255;2.0;Saída;3.0;1
3;3240;3.0;Saída;3.0;1
4;3214;4.0;Saída;2.0;1
5;3242;5.0;Saída;2.0;1
6;1606;6.0;Saída;1.0;1
7;1638;7.0;Saída;2.0;1
8;1607;8.0;Saída;1.0;1
9;2589;11.0;Saída;3.0;1
10;2583;12.0;Saída;3.0;1
11;116;14.0;Saída;2.0;1
12;153;15.0;Saída;1.0;1
13;147;16.0;Saída;2.0;1
14;150;17.0;Saída;2.0;1
15;2751;21.0;Saída;2.0;1
16;1681;22.0;Saída;1.0;1
17;1714;23.0;Saída;3.0;1
18;4038;24.0;Saída;1.0;1
19;4034;25.0;Saída;1.0;1
20;4062;26.0;Saída;3.0;1
21;4075;27.0;Saída;2.0;1
22;2798;32.0;Saída;3.0;1
23;421;33.0;Saída;3.0;1
24;424;34.0;Saída;1.0;1
25;1075;35.0;Saída;1.0;1
26;1104;36.0;Saída;1.0;1
27;1045;37.0;Saída;2.0;1
28;1041;38.0;Saída;3.0;1
29;1111;39.0;Saída;3.0;1
30;460;40.0;Saída;2.0;1
31;415;41.0;Saída;1.0;1
32;436;42.0;Saída;2.0;1
33;465;43.0;Saída;3.0;1
34;412;44.0;Saída;3.0;1
35;2216;45.0;Saída;1.0;1
36;2233;46.0;Saída;3.0;1
37;2234;47.0;Saída;2.0;1
38;2213;48.0;Saída;1.0;1
39;2554;49.0;Saída;3.0;1
40;2544;50.0;Saída;2.0;1
41;2553;51.0;Saída;3.0;1
42;2534;52.0;Saída;1.0;1
43;2526;53.0;Saída;3.0;1
44;3936;54.0;Saída;2.0;1
45;3789;55.0;Saída;2.0;1
46;3833;56.0;Saída;2.0;1
47;145;58.0;Saída;3.0;1
48;137;59.0;Saída;3.0;1
49;124;60.0;Saída;1.0;1
50;95;61.0;Saída;1.0;1
51;93;62.0;Saída;1.0;1
52;81;63.0;Saída;2.0;1
53;96;64.0;Saída;1.0;1
54;137;65.0;Saída;1.0;1
55;133;66.0;Saída;2.0;1
56;2184;67.0;Saída;3.0;1
57;2222;68.0;Saída;1.0;1
58;2193;69.0;Saída;3.0;1
59;2231;70.0;Saída;1.0;1
60;3661;71.0;Saída;1.0;1
61;3614;72.0;Saída;1.0;1
62;1637;73.0;Saída;1.0;1
63;145;74.0;Saída;2.0;1
64;107;75.0;Saída;1.0;1
65;122;76.0;Saída;3.0;1
66;1674;77.0;Saída;1.0;1
67;2468;78.0;Saída;3.0;1
68;2401;79.0;Saída;3.0;1
69;2327;80.0;Saída;3.0;1
70;2377;81.0;Saída;2.0;1
71;2337;82.0;Saída;1.0;1
72;2346;83.0;Saída;3.0;1
73;400;84.0;Saída;2.0;1
74;3170;85.0;Saída;1.0;1
75;3186;86.0;Saída;1.0;1
76;3139;87.0;Saída;2.0;1
77;3168;88.0;Saída;2.0;1
78;3031;89.0;Saída;2.0;1
79;2984;90.0;Saída;3.0;1
80;3034;91.0;Saída;2.0;1
81;3539;92.0;Saída;2.0;1
82;2889;98.0;Saída;1.0;1
83;3571;99.0;Saída;3.0;1
84;3527;100.0;Saída;2.0;1
85;3531;101.0;Saída;3.0;1
86;3593;102.0;Saída;1.0;1
87;3596;103.0;Saída;2.0;1
88;4127;104.0;Saída;1.0;1
89;1057;105.0;Saída;3.0;1
90;1080;106.0;Saída;3.0;1
91;1074;107.0;Saída;1.0;1
92;1854;108.0;Saída;1.0;1
93;1891;109.0;Saída;2.0;1
94;1889;110.0;Saída;2.0;1
95;1901;111.0;Saída;1.0;1
96;1895;112.0;Saída;2.0;1
97;3175;113.0;Saída;2.0;1
98;1809;114.0;Saída;2.0;1
99;1795;115.0;Saída;3.0;1
100;1831;116.0;Saída;1.0;1
101;252;117.0;Saída;3.0;1
102;291;118.0;Saída;1.0;1
103;263;119.0;Saída;2.0;1
104;242;120.0;Saída;1.0;1
105;3938;121.0;Saída;3.0;1
106;1901;122.0;Saída;1.0;1
107;1917;123.0;Saída;3.0;1
108;1905;124.0;Saída;2.0;1
109;3510;125.0;Saída;2.0;1
110;3466;126.0;Saída;2.0;1
111;3507;127.0;Saída;1.0;1
112;3499;128.0;Saída;2.0;1
113;717;129.0;Saída;2.0;1
