id_pedido;id_calendario;id_cliente;id_vendedor;id_loja;status
1;1;122;82;41;pago
2;1;329;41;21;pago
3;1;76;18;9;pendente
4;1;107;66;33;pago
5;1;234;3;2;cancelado
6;1;2;3;2;pago
7;1;66;43;22;pendente
8;1;343;69;35;pago
9;1;104;44;22;pago
10;1;443;97;51;pago
11;1;428;74;37;cancelado
12;1;65;70;35;pago
13;1;438;11;6;pago
14;1;224;28;14;enviado
15;1;304;11;6;pago
16;1;338;55;28;pago
17;1;450;64;32;pago
18;1;106;96;50;pago
19;1;152;94;48;pago
20;1;186;41;21;pendente
21;1;287;4;2;pago
22;1;83;4;2;pago
23;1;233;56;28;pago
24;1;492;92;46;enviado
25;1;157;41;21;pago
26;1;360;4;2;pago
27;1;105;42;21;pago
28;1;201;62;31;pago
29;1;422;59;30;pago
30;1;62;9;5;pago
31;1;187;79;40;pago
32;1;38;75;38;pago
33;1;45;90;45;pago
34;1;236;29;15;pendente
35;1;326;74;37;pago
36;1;45;90;45;pago
37;1;223;98;52;pago
38;1;321;27;14;pago
39;1;241;47;24;pago
40;1;466;79;40;pago
41;1;284;46;23;pago
42;1;312;7;4;pago
43;1;50;96;50;pago
44;1;455;47;24;pago
45;1;298;87;44;pago
46;1;175;17;9;pago
47;1;277;98;52;pago
48;2;495;100;54;pago
49;2;111;100;54;enviado
50;2;152;94;48;pago
51;2;268;65;33;pago
52;2;412;35;18;pago
53;2;68;78;39;pago
54;2;430;75;38;pago
55;2;100;13;7;pago
56;2;419;94;48;pago
57;2;469;2;1;pago
58;2;349;93;47;pago
59;2;477;15;8;pago
60;2;145;61;31;pago
61;2;312;8;4;pago
62;2;263;19;10;pago
63;2;58;12;6;pago
64;2;21;42;21;cancelado
65;2;252;96;50;pago
66;2;378;45;23;pago
67;2;350;34;17;cancelado
68;2;149;72;36;pago
69;2;69;71;36;pago
70;2;4;7;4;pago
71;2;370;3;2;pago
72;2;209;98;52;pago
73;2;37;74;37;pago
74;2;353;10;5;pago
75;2;16;31;16;pago
76;2;187;80;40;pago
77;2;263;20;10;pago
78;2;359;13;7;pago
79;2;466;80;40;pago
80;2;48;94;48;pago
81;2;194;12;6;cancelado
82;2;221;81;41;pago
83;2;242;85;43;pago
84;2;490;77;39;pago
85;2;438;11;6;pago
86;2;217;56;28;pago
87;2;309;29;15;pago
